Folder ," ""Instance"" ", Best, Cplex , rpd ," ""time"" "," ""machines"" "," ""jobs"" "," ""solver"" "," ""best_cmax"" "," ""best_g"" "," ""initial_effective_org_mutation"" "," ""final_effective_org_mutation"" "," ""distance_effective_org_mutation"" "," ""average_effective_org_mutation"" "," ""cv_effective_org_mutation"" "," ""initial_effective_rea_mutation"" "," ""final_effective_rea_mutation"" "," ""distance_effective_rea_mutation"" "," ""average_effective_rea_mutation"" "," ""cv_effective_rea_mutation"" "," ""initial_no_effective_mutation"" "," ""final_no_effective_mutation"" "," ""distance_no_effective_mutation"" "," ""average_no_effective_mutation"" "," ""cv_no_effective_mutation"" "," ""initial_effective_crossover"" "," ""final_effective_crossover"" "," ""distance_effective_crossover"" "," ""average_effective_crossover"" "," ""cv_effective_crossover"" "," ""initial_min_ci"" "," ""final_min_ci"" "," ""initial_max_ci"" "," ""final_max_ci"" "," ""initial_difference_ci"" "," ""final_difference_ci"" "," ""initial_average_cmax"" "," ""final_average_cmax"" "," ""final_distance_average_cmax"" "," ""average_average_cmax"" "," ""cv_average_cmax"" "," ""initial_cv_cmax"" "," ""final_cv_cmax"" "," ""final_distance_cv_cmax"" "," ""average_cv_cmax"" "," ""cv_cv_cmax"" "," ""initial_repeated_solutions_affter_mutation"" "," ""final_repeated_solutions_affter_mutation"" "," ""distance_repeated_solutions_affter_mutation"" "," ""average_repeated_solutions_affter_mutation"" "," ""cv_repeated_solutions_affter_mutation"" "," ""initial_repeated_solutions_affter_crossover"" "," ""final_repeated_solutions_affter_crossover"" "," ""distance_repeated_solutions_affter_crossover"" "," ""average_repeated_solutions_affter_crossover"" "," ""cv_repeated_solutions_affter_crossover"" "," ""repe_njobs"" "," ""num_equal_nm"" "," ""num_down_nm"" "," ""num_up_nm"" "," ""average_min_pij"" "," ""average_max_pij"" "," ""average_distance_pij"" "," ""max_njobs"" "," ""min_njobs"" "," ""distance_maxmin_njobs"" "," ""num_ci_cmax"" "," ""average_ci"" "," ""repeated_ci_general"" "," ""min_ci"" "," ""max_ci"" "," ""difference_ci"" "," ""cv_ci"" "," ""cv_njobs"" "," ""cv_difference_best_worst_cmax"" "," ""P1"" "
" ""src/1a100/"" "," ""158.txt"" ",102,11,0,1,50,100,3,8,102,22,4,18,9.322,0.466882333,16,28,12,34.338,0.147681009,43,49,6,37.34,0.13769775,2,0,2,0.006,16.63664,0.090909091,0,0.454545455,0,0.363636364,0,0.323636364,0.122727273,0.200909091,0.103903103,0.020208274,0.09920588,0.1656954,0.066489521,0.139239179,0.126154347,8,15,7,19.098,0.199554328,8,17,0,17.434,0.24621488,46,20,16,14,0.732727,3.707273,32.72,5,1,4,1,-0.429090909,39,-0.90909,0,0.909090909,0.357539929,0.435889894,0.869362046,-3.99E-06
" ""src/1a100/"" "," ""150.txt"" ",96,14,0,0,40,100,1,10,96,15,5,10,6.788,0.433604447,15,42,27,37.77,0.127517521,51,34,17,36.442,0.121914782,0,0,0,0,0,0,0,0.357142857,0.285714286,0.357142857,0.285714286,0.216428571,0.164285714,0.052142857,0.116890505,0.022628336,0.128502715,0.211367278,0.082864563,0.184601764,0.11822291,13,14,1,18.1,0.216515383,3,9,0,13.928,0.306222665,34,13,8,19,-0.1125,2.603571,38.025,5,0,5,2,-0.501785714,27,-1,0,1,0.451655571,0.632455532,1.325336995,0
" ""src/1a100/"" "," ""152.txt"" ",102,13,0,0,50,100,1,8,102,28,4,24,5.55,0.486269555,15,41,26,42.18,0.119896454,38,36,2,33.27,0.139268891,1,0,1,0.002,22.338308,0,0,0.307692308,0,0.307692308,0,0.168461538,0.060769231,0.107692308,0.082634731,0.019548436,0.09839524,0.105732171,0.007336931,0.123994938,0.154609604,15,22,7,16.728,0.268211898,6,20,0,15.2,0.280142672,46,28,12,10,-0.001538,3.101538,40.34,4,1,3,1,-0.503076923,40,-0.84615,0,0.846153846,0.379443311,0.374165739,0.780798243,0
" ""src/1a100/"" "," ""154.txt"" ",102,11,0,0,50,100,1,8,102,35,9,26,4.772,0.552846652,4,43,39,42.524,0.125509684,42,29,13,33.704,0.134952781,1,0,1,0.002,22.338308,0,0,0.545454545,0.727272727,0.545454545,0.727272727,0.33,0.14,0.19,0.095238614,0.025360412,0.13028498,0.204065724,0.073780744,0.160986137,0.147444101,8,16,8,22.846,0.200500845,10,14,0,20.588,0.228743908,46,27,13,10,0.36,2.838182,27.26,4,1,3,2,-0.549090909,39,-0.90909,0,0.909090909,0.478736196,0.4,0.951188839,0
" ""src/1a100/"" "," ""147.txt"" ",96,14,0,0,40,100,1,10,96,23,4,19,5.392,0.508929111,7,31,24,34.64,0.178504536,51,46,5,40.968,0.144363959,4,0,4,0.008,22.338308,0,0,0.285714286,0.071428571,0.285714286,0.071428571,0.267857143,0.064285714,0.203571429,0.084448246,0.020059253,0.104605322,0.115662335,0.011057013,0.138737811,0.171827696,8,24,16,19.284,0.3004604,3,18,0,16.554,0.318295796,35,12,7,21,-0.373214,2.007143,33.325,5,1,4,1,-0.396428571,28,-0.92857,0,0.928571429,0.311930304,0.547722558,0.816346619,0
" ""src/1a100/"" "," ""136.txt"" ",120,24,0,0,30,100,1,16,120,27,3,24,5.074,0.480192808,14,52,38,44.316,0.122925839,40,26,14,31.61,0.147483806,6,0,6,0.012,22.338308,0,0,0.5,0,0.5,0,0.208333333,0.06125,0.147083333,0.058247671,0.019666313,0.138017214,0.138417467,0.000400252,0.12907034,0.188453218,8,20,12,25.81,0.219028744,0,29,0,25.132,0.236990837,24,11,7,12,-0.768056,0.901389,40.06666667,7,1,6,1,-0.431944444,16,-0.75,0,0.75,0.284386869,0.463481191,2.8673396,0
" ""src/1a100/"" "," ""138.txt"" ",120,19,0,0,30,100,1,16,120,26,9,17,8.348,0.424312385,21,47,26,37.54,0.122154325,34,25,9,35.112,0.128671222,0,0,0,0.014,12.331311,0,0,0.368421053,0.368421053,0.368421053,0.368421053,0.327368421,0.172105263,0.155263158,0.146835802,0.01606589,0.092579943,0.132728271,0.040148328,0.130214745,0.064255673,13,17,4,14.546,0.298904146,4,12,0,11.96,0.253916427,24,7,9,14,-0.564912,1.898246,46.8,6,1,5,1,-0.340350877,19,-0.68421,0,0.684210526,0.217760526,0.486864496,0.205591296,0
" ""src/1a100/"" "," ""156.txt"" ",102,10,0,0,50,100,1,8,102,33,5,28,5.37,0.510428951,4,45,41,37.868,0.134316906,44,31,13,37.762,0.116931864,4,0,4,0.014,15.940578,0,0,0.7,0.1,0.7,0.1,0.376,0.118,0.258,0.126956088,0.025935918,0.131265371,0.194481618,0.063216247,0.198681807,0.11430701,8,22,14,21.03,0.239372061,8,21,0,19.434,0.268804625,45,20,18,12,0.626,3.3,26.74,5,1,4,1,-0.466,40,-0.9,0,0.9,0.407895948,0.509901951,1.397109956,0
" ""src/1a100/"" "," ""146.txt"" ",96,12,0,0,40,100,1,10,96,28,4,24,6.882,0.509114089,11,35,24,35.992,0.135110979,42,42,0,38.126,0.120943374,7,0,7,0.018,18.059914,0,0,0.666666667,0,0.666666667,0,0.390833333,0.078333333,0.3125,0.086448769,0.025533352,0.138118023,0.164233566,0.026115543,0.16864557,0.162999096,4,23,19,23.874,0.219295798,6,21,0,20.834,0.297491537,35,12,7,21,-0.185417,3.414583,43.2,5,1,4,2,-0.389583333,30,-0.83333,0,0.833333333,0.347235032,0.559016994,1.59518524,0
" ""src/1a100/"" "," ""132.txt"" ",5,23,0,0,30,100,1,19,5,33,10,23,5.648,0.526064306,7,27,20,34.352,0.138793048,41,44,3,41,0.114035802,7,0,7,0.02,16.401219,0,0,0.608695652,0,0.608695652,0,0.430869565,0.127826087,0.303043478,0.078242645,0.026714427,0.146111324,0.226158413,0.080047089,0.167300163,0.182765341,2,15,13,28.17,0.188702193,1,18,0,27.088,0.22924138,24,14,5,11,-0.781159,0.946377,39.73333333,6,1,5,1,-0.34057971,16,-0.65217,0,0.652173913,0.264878479,0.403686714,1.99617163,0
" ""src/1a100/"" "," ""142.txt"" ",41,12,0.083333333,1,40,100,0,11,41,26,4,22,6.142,0.516655892,18,36,18,30.938,0.142931286,37,41,4,43.92,0.108168199,0,0,0,0.01,14.798649,0.333333333,0.083333333,0.666666667,0.083333333,0.333333333,0,0.52,0.135,0.385,0.158125416,0.027333999,0.097803084,0.101087218,0.003284134,0.132938514,0.206676679,9,22,13,18.674,0.227218568,1,25,0,13.796,0.361221432,35,16,7,17,-0.241667,3.21875,41.525,5,1,4,4,-0.266666667,30,-0.83333,0.083333333,0.916666667,0.325603381,0.612372436,1.319861008,0.416157638
" ""src/1a100/"" "," ""157.txt"" ",102,8,0.125,1,50,100,0,8,102,30,0,30,4.53,0.761672581,19,35,16,33.442,0.148945267,32,46,14,43.028,0.125084132,0,0,0,0.002,22.338308,0.25,0.125,0.625,0.125,0.375,0,0.49875,0.1625,0.33625,0.171459581,0.022164475,0.091739328,0.076789553,0.014949775,0.079209192,0.175856869,9,25,16,26.29,0.165109386,6,22,0,23.294,0.238711097,45,19,16,15,1.0175,4.2175,25.6,4,0,4,3,-0.355,40,-1,0.125,1.125,0.442539937,0.479583152,1.027159004,0.499996
" ""src/1a100/"" "," ""153.txt"" ",102,10,0,1,50,100,3,8,102,20,6,14,3.89,0.746382778,14,31,17,32.782,0.154228989,47,44,3,44.328,0.119891436,1,0,1,0.006,16.63664,0.1,0,0.5,0,0.4,0,0.432,0.077,0.355,0.056161677,0.027080045,0.102575218,0.133817527,0.031242309,0.112809402,0.182439611,10,15,5,23.292,0.255640905,5,14,0,19.628,0.349032573,44,24,13,13,-0.13,3.15,32.8,5,0,5,5,-0.444,39,-1,0,1,0.539760158,0.538516481,1.369539249,0.499996
" ""src/1a100/"" "," ""145.txt"" ",96,11,0.090909091,1,40,100,0,10,96,23,4,19,3.632,0.781694756,17,28,11,34.618,0.139556208,41,49,8,42.75,0.115999573,2,0,2,0.01,11.789826,0.181818182,0.090909091,0.545454545,0.090909091,0.363636364,0,0.539090909,0.119090909,0.42,0.140250408,0.025211685,0.090066619,0.057090186,0.032976433,0.097825045,0.197680353,7,30,23,24.528,0.226090926,1,31,0,22.222,0.289324254,35,17,3,20,-0.556818,3.690909,46.725,4,0,4,4,-0.286363636,29,-1,0.090909091,1.090909091,0.363169052,0.487339717,1.95912973,0.499996
" ""src/1a100/"" "," ""155.txt"" ",102,9,0,1,50,100,3,8,102,24,10,14,3.926,0.721358371,9,30,21,34.096,0.151033529,48,41,7,42.978,0.110890919,3,0,3,0.01,16.093477,0.111111111,0,0.555555556,0.111111111,0.444444444,0.111111111,0.384444444,0.058888889,0.325555556,0.057269905,0.021430852,0.09109768,0.111499598,0.020401919,0.111461314,0.148365919,11,31,20,27.108,0.210174019,8,26,0,25.27,0.250595288,45,32,10,8,0.377778,4.584444,37.86,4,0,4,5,-0.391111111,41,-1,0,1,0.374403463,0.387298335,1.557699411,0.499996
" ""src/1a100/"" "," ""131.txt"" ",5,19,0,1,30,100,3,19,5,35,5,30,3.974,0.70553731,6,22,16,31.042,0.154146033,40,54,14,45.984,0.100881563,2,0,2,0.034,9.152873,0.157894737,0,0.631578947,0.473684211,0.473684211,0.473684211,0.432631579,0.104736842,0.327894737,0.084815632,0.023591263,0.09879366,0.156057771,0.05726411,0.142238708,0.1471622,1,16,15,14.76,0.216700518,2,16,0,11.852,0.259428904,24,11,7,12,-0.833333,1.714035,48.4,6,1,5,2,-0.259649123,20,-0.57895,0,0.578947368,0.213217476,0.403686714,1.367009748,0.684355686
" ""src/1000a1100/"" "," ""154.txt"" ",102,2026,0,1,50,100,3,8,102,38,24,14,21.584,0.265337112,10,18,8,23.664,0.33839124,33,39,6,35.752,0.180444168,0,0,0,0.104,3.713879,0.01875617,0,0.081441264,0,0.062685094,0,0.043785785,0.026811451,0.016974334,0.019277999,0.005287945,0.013828963,0.026026343,0.01219738,0.020848241,0.180019128,0,8,8,8.892,0.396913347,0,7,0,6.694,0.450158983,49,50,0,0,-0.504886,-0.480691,49.02,2,2,0,1,-0.010148075,34,-0.01283,0,0.012833169,0.002666993,0,3.532939233,0.698514184
" ""src/1a100/"" "," ""139.txt"" ",120,16,0,1,30,100,3,16,120,30,2,28,3.35,0.844280219,4,24,20,25.096,0.186842792,47,55,8,52.554,0.096468792,2,0,2,0.058,7.527911,0.3125,0,0.6875,0,0.375,0,0.574375,0.184375,0.39,0.13448977,0.033877078,0.093892128,0.218009662,0.124117534,0.177978299,0.149783825,4,11,7,18.498,0.25803054,1,11,0,16.348,0.306988916,24,9,8,13,-0.5,2.122917,41.96666667,6,1,5,10,-0.141666667,21,-0.625,0,0.625,0.19350613,0.430331483,1.20312483,0.713760901
" ""src/100a120/"" "," ""145.txt"" ",102,300,0.003333333,0,40,100,0,8,102,39,42,3,31.784,0.1533136,9,9,0,13.884,0.264192136,33,30,3,35.332,0.146164351,0,0,0,0.006,12.871156,0.01,0.003333333,0.016666667,0.013333333,0.006666667,0.01,0.016366667,0.006866667,0.0095,0.007244977,0.000907635,0.003827374,0.004260783,0.000433408,0.004442135,0.114180449,6,8,2,8.336,0.312616923,3,3,0,5.756,0.437599365,38,20,0,20,-0.66525,-0.638,8.175,3,2,1,5,-0.164333333,35,-0.33333,0.003333333,0.336666667,0.197658966,0.353553391,0.411349029,0.726511194
" ""src/1a100/"" "," ""148.txt"" ",96,13,0,1,40,100,3,10,96,29,3,26,6.042,0.633795279,11,29,18,27.24,0.180810636,41,49,8,47.718,0.109573344,0,0,0,0.006,16.63664,0.153846154,0,0.615384615,0,0.461538462,0,0.445384615,0.05,0.395384615,0.038773223,0.029536679,0.103551833,0.105339222,0.00178739,0.080274872,0.234919009,7,16,9,23.63,0.210735026,2,15,0,20.736,0.291921716,36,16,5,19,-0.453846,3.188462,47.35,4,1,3,2,-0.313461538,29,-0.76923,0,0.769230769,0.328949828,0.512347538,1.340917583,0.749145793
" ""src/100a200/"" "," ""160.txt"" ",102,209,0.014354067,1,50,100,0,8,102,30,21,9,13.316,0.314336671,13,25,12,25.87,0.207720978,38,35,3,41.814,0.145714302,6,0,6,0.166,3.038701,0.224880383,0.014354067,0.464114833,0.028708134,0.23923445,0.014354067,0.428564593,0.167607656,0.260956938,0.162485651,0.028855444,0.045870117,0.144761054,0.098890937,0.146248068,0.093105366,0,11,11,12.852,0.564455696,0,2,0,4.364,1.58446066,49,50,0,0,-0.508421,-0.241818,55.72,2,2,0,5,-0.018851675,37,-0.04306,0.014354067,0.057416268,0.018335319,0,2.516538719,0.780875005
" ""src/100a120/"" "," ""154.txt"" ",102,202,0,0,50,100,3,8,102,31,20,11,19.168,0.226011015,14,23,9,29.276,0.200211236,36,38,2,32.556,0.166239817,1,0,1,0.4,1.732051,0.034653465,0,0.133663366,0.04950495,0.099009901,0.04950495,0.100841584,0.050445545,0.05039604,0.048927096,0.006790972,0.027689713,0.051791875,0.024102162,0.049415338,0.094353347,1,13,12,17.156,0.871464303,0,8,0,7.78,1.787619708,49,50,0,0,-0.50396,-0.46,8.88,2,2,0,3,-0.007623762,47,-0.0099,0,0.00990099,0.003027834,0,1.082034103,0.788845349
" ""src/1a100/"" "," ""130.txt"" ",286,29,0.034482759,1,20,100,0,30,286,27,2,25,4.75,0.663992791,14,34,20,28.688,0.175686864,40,45,5,47.562,0.117037151,5,0,5,0.046,9.522732,0.344827586,0.034482759,0.896551724,0.034482759,0.551724138,0,0.533103448,0.153448276,0.379655172,0.143001583,0.028906399,0.088974491,0.151222985,0.062248494,0.125952108,0.167026176,3,14,11,15.708,0.296357511,1,14,0,13.04,0.379972088,12,6,8,6,-0.839655,1.044828,54.65,9,1,8,3,-0.067241379,12,-0.27586,0.034482759,0.310344828,0.088628259,0.357770876,1.189856872,0.789495125
" ""src/100a120/"" "," ""153.txt"" ",102,201,0.004975124,1,50,100,0,8,102,43,14,29,18.03,0.261496098,16,36,20,31.896,0.161968823,22,31,9,31.074,0.168503542,3,0,3,0.222,2.403549,0.044776119,0.004975124,0.139303483,0.054726368,0.094527363,0.049751244,0.102238806,0.050746269,0.051492537,0.049271904,0.007153271,0.028819423,0.047034947,0.018215523,0.047303642,0.085183802,3,11,8,15.736,0.767161057,0,8,0,6.31,1.7615658,49,50,0,0,-0.501592,-0.448756,10.62,2,2,0,2,-0.003681592,47,-0.00498,0.004975124,0.009950249,0.00260621,0,1.012969283,0.809672182
" ""src/100a120/"" "," ""138.txt"" ",102,400,0.005,0,30,100,0,8,102,46,41,5,38.926,0.123931574,7,5,-2,10.41,0.313959425,28,35,7,31.664,0.150413032,3,1,2,0.49,1.738771,0.0125,0.005,0.0225,0.0125,0.01,0.0075,0.01755,0.01075,0.0068,0.010837226,0.000824628,0.003693176,0.00484056,0.001147384,0.004792759,0.082931709,1,9,8,6.964,0.360842544,0,6,0,3.538,0.527007488,28,20,0,10,-0.749083,-0.723167,10.36666667,4,3,1,4,-0.158916667,18,-0.25,0.005,0.255,0.136108173,0.19245009,0.232711295,0.810896406
" ""src/1000a1100/"" "," ""156.txt"" ",102,2014,0,1,50,100,3,8,102,44,17,27,16.844,0.28516369,12,27,15,27.126,0.205355339,25,37,12,37.03,0.15636204,3,0,3,0.28,2.182958,0.020357498,0,0.08490566,0,0.064548163,0,0.050069513,0.021102284,0.028967229,0.020266646,0.004066312,0.01539655,0.023591678,0.008195128,0.021738148,0.117572287,0,10,10,12.278,0.772792501,0,1,0,4.35,2.320307905,49,50,0,0,-0.502155,-0.473436,57.84,2,2,0,2,-0.004200596,37,-0.00695,0,0.006951341,0.001790062,0,2.857427803,0.818915623
" ""src/1000a1100/"" "," ""160.txt"" ",102,2012,0,1,50,100,3,8,102,39,16,23,14.178,0.340240626,13,30,17,27.868,0.199850448,29,35,6,38.954,0.152315195,4,0,4,0.14,3.165503,0.019383698,0,0.091451292,0,0.072067594,0,0.050472167,0.01555666,0.034915507,0.018003932,0.004621258,0.016917349,0.020437366,0.003520016,0.021698136,0.134572419,0,13,13,16.072,0.9358742,0,3,0,9.254,1.68980317,49,50,0,0,-0.501829,-0.479374,45.18,2,2,0,3,-0.003528827,38,-0.00596,0,0.005964215,0.001801825,0,3.00263286,0.827033465
" ""src/1a100/"" "," ""143.txt"" ",41,12,0.083333333,1,40,100,0,11,41,32,6,26,5.172,0.860052676,5,29,24,25.53,0.179502378,44,46,2,50.298,0.11224373,2,0,2,0.006,16.63664,0.333333333,0.083333333,0.75,0.166666667,0.416666667,0.083333333,0.695833333,0.210833333,0.485,0.179522621,0.035524603,0.099591981,0.191584345,0.091992364,0.136096977,0.176722494,10,21,11,22.932,0.227039701,2,12,0,20.546,0.301981171,35,19,6,15,-0.120833,2.541667,31.95,5,1,4,4,-0.1875,31,-0.83333,0.083333333,0.916666667,0.25305497,0.62249498,1.048730776,0.827285525
" ""src/1a100/"" "," ""112.txt"" ",351,87,0.022988506,3,10,100,0,51,351,21,3,18,4.672,0.701337129,23,24,1,31.96,0.165821664,37,54,17,44.368,0.143606749,4,0,4,0.302,2.492909,0.275862069,0.022988506,0.356321839,0.045977011,0.08045977,0.022988506,0.41862069,0.059770115,0.358850575,0.076576273,0.027984009,0.055371927,0.050987676,0.004384251,0.060797699,0.202817818,1,18,17,17.018,0.283748852,0,9,0,9.252,0.44831715,4,1,5,4,-0.982759,-0.356322,54.5,14,8,6,3,-0.012643678,4,-0.06897,0.022988506,0.091954023,0.031860145,0.223606798,1.106182456,0.830465199
" ""src/100a200/"" "," ""155.txt"" ",102,210,0,1,50,100,3,8,102,39,15,24,10.658,0.437687424,8,24,16,29.908,0.189423974,34,42,8,40.434,0.159892906,6,0,6,0.09,5.090538,0.20952381,0,0.447619048,0.061904762,0.238095238,0.061904762,0.424380952,0.139142857,0.285238095,0.127460793,0.034872157,0.042142874,0.153855532,0.111712658,0.138235627,0.129908932,0,13,13,13.014,0.427648025,0,6,0,3.35,1.769912647,49,50,0,0,-0.512,-0.29981,44.56,2,2,0,5,-0.02552381,39,-0.04762,0,0.047619048,0.014553957,0,2.523672619,0.83438613
" ""src/100a120/"" "," ""156.txt"" ",102,202,0,1,50,100,3,8,102,38,10,28,18.03,0.232450019,12,29,17,30.998,0.190280163,31,42,11,31.972,0.177205586,4,0,4,0.296,2.252099,0.02970297,0,0.133663366,0,0.103960396,0,0.102128713,0.035792079,0.066336634,0.046395427,0.006761632,0.03205652,0.044192822,0.012136303,0.048379916,0.08929242,0,12,12,16.41,0.812430704,0,5,0,6.558,1.449965147,49,50,0,0,-0.504059,-0.449406,11.04,2,2,0,4,-0.008118812,47,-0.0099,0,0.00990099,0.003118487,0,1.091571409,0.836696526
" ""src/1000a1100/"" "," ""155.txt"" ",102,2010,0.000497512,1,50,100,0,8,102,40,10,30,13.428,0.344286141,17,16,-1,26.246,0.211182521,24,55,31,41.326,0.160531705,1,0,1,0.254,2.353936,0.023383085,0.000497512,0.090049751,0.000497512,0.066666667,0,0.050726368,0.017562189,0.033164179,0.017149502,0.004466938,0.014565907,0.021495228,0.006929321,0.020482579,0.157647125,0,10,10,13.172,0.571634486,0,6,0,4.928,1.642024791,49,50,0,0,-0.501323,-0.477453,47.98,2,2,0,4,-0.002716418,38,-0.00498,0.000497512,0.005472637,0.001637046,0,2.862299207,0.838560327
" ""src/1000a1100/"" "," ""151.txt"" ",102,2013,0,1,50,100,3,8,102,34,7,27,14.5,0.333738953,13,28,15,24.85,0.256624044,34,46,12,41.65,0.170774795,5,0,5,0.128,3.627693,0.020864382,0,0.091405862,0,0.07054148,0,0.053621461,0.010769995,0.042851465,0.01792558,0.004779967,0.016544069,0.018011287,0.001467217,0.020939107,0.145533873,0,17,17,13.86,0.760245416,0,2,0,5.35,2.096088968,49,50,0,0,-0.502067,-0.47851,47.42,2,2,0,3,-0.003894685,36,-0.00646,0,0.006458023,0.002044992,0,2.971805152,0.846991005
" ""src/1a100/"" "," ""124.txt"" ",381,33,0.03030303,1,20,100,0,31,381,21,5,16,3.48,0.755785367,19,36,17,33.562,0.14886521,41,40,1,43.958,0.122287682,7,0,7,0.07,6.406311,0.212121212,0.03030303,0.636363636,0.03030303,0.424242424,0,0.510606061,0.124848485,0.385757576,0.125215629,0.023515747,0.101194614,0.103096902,0.001902288,0.110104925,0.170444509,2,11,9,15.646,0.246087411,0,11,0,13.062,0.316936579,13,3,10,7,-0.913636,0.419697,44,9,3,6,2,-0.093939394,9,-0.33333,0.03030303,0.363636364,0.117247814,0.340587727,0.88328686,0.847130112
" ""src/100a120/"" "," ""157.txt"" ",102,202,0,1,50,100,3,8,102,41,14,27,18.386,0.247844196,9,27,18,29.472,0.182712619,31,40,9,33.142,0.168543249,3,0,3,0.104,3.455978,0.02970297,0,0.148514851,0.01980198,0.118811881,0.01980198,0.094851485,0.040445545,0.054405941,0.046088417,0.006307914,0.029779003,0.044847294,0.01506829,0.048880583,0.08692958,1,13,12,14.858,0.693111073,0,6,0,7.898,1.267153282,49,50,0,0,-0.50396,-0.46,8.88,2,2,0,1,-0.008613861,47,-0.0099,0,0.00990099,0.002407265,0,1.18253931,0.847948374
" ""src/100a200/"" "," ""151.txt"" ",102,208,0.009615385,1,50,100,0,8,102,38,13,25,10.8,0.398471015,10,20,10,28.548,0.211741886,33,48,15,41.652,0.172992337,1,0,1,0.122,3.14391,0.197115385,0.009615385,0.471153846,0.009615385,0.274038462,0,0.430192308,0.111490385,0.318701923,0.138587728,0.034303632,0.052229936,0.134882788,0.082652852,0.137446296,0.115968759,1,13,12,13.13,0.494645684,0,0,0,3.784,1.891360684,49,50,0,0,-0.508077,-0.301923,42.88,2,2,0,4,-0.014038462,39,-0.03846,0.009615385,0.048076923,0.014194192,0,2.388901295,0.853377797
" ""src/1a100/"" "," ""137.txt"" ",120,17,0,1,30,100,3,16,120,32,3,29,3.756,0.86224436,8,28,20,26.604,0.175916545,41,50,9,50.64,0.104564175,2,0,2,0.006,16.63664,0.294117647,0,0.588235294,0.411764706,0.294117647,0.411764706,0.495882353,0.128823529,0.367058824,0.11642832,0.032643474,0.084569586,0.116451462,0.031881876,0.083486847,0.192458102,7,21,14,19.688,0.221484142,2,10,0,14.118,0.358998481,26,12,7,11,-0.835294,1.796078,44.73333333,5,2,3,11,-0.098039216,22,-0.52941,0,0.529411765,0.135062822,0.365148372,0.6335387,0.853577413
" ""src/1a100/"" "," ""113.txt"" ",351,98,0.020408163,3,10,100,0,51,351,14,1,13,3.152,0.803416764,33,37,4,36.206,0.148817728,34,43,9,41.642,0.147255982,6,0,6,0.268,2.649453,0.224489796,0.020408163,0.663265306,0.163265306,0.43877551,0.142857143,0.393469388,0.046632653,0.346836735,0.062261599,0.027251837,0.061138224,0.038488806,0.022649418,0.050014034,0.227349401,3,21,18,15.816,0.213686536,2,4,0,7.2,0.470503408,3,2,4,4,-0.982653,-0.576531,39.8,13,7,6,2,-0.015306122,3,-0.05102,0.020408163,0.071428571,0.026317979,0.18973666,0.954090756,0.854935881
" ""src/100a200/"" "," ""156.txt"" ",102,210,0.004761905,1,50,100,0,8,102,39,11,28,12.994,0.35831615,11,24,13,27.31,0.20857306,31,46,15,40.696,0.148095759,4,0,4,0.186,3.132172,0.2,0.004761905,0.442857143,0.004761905,0.242857143,0,0.408952381,0.12847619,0.28047619,0.148139435,0.031175499,0.047072703,0.14494262,0.097869917,0.146740012,0.101316175,0,11,11,14.402,0.70670983,0,1,0,5.778,1.885312142,49,50,0,0,-0.511714,-0.298095,44.86,2,2,0,2,-0.024380952,38,-0.04762,0.004761905,0.052380952,0.016148055,0,2.367235503,0.85565408
" ""src/1000a1100/"" "," ""152.txt"" ",102,2010,0,1,50,100,3,8,102,45,16,29,14.762,0.314143528,10,15,5,25.812,0.230389702,26,50,24,40.426,0.160235847,5,0,5,0.206,2.845356,0.01840796,0,0.087562189,0,0.069154229,0,0.051656716,0.022820896,0.028835821,0.018704402,0.004567974,0.014303936,0.02447998,0.010176044,0.022763749,0.143331756,0,12,12,13.128,0.389419596,0,7,0,4.758,0.92407585,49,50,0,0,-0.501612,-0.474726,54.04,2,2,0,2,-0.002915423,39,-0.00498,0,0.004975124,0.001421873,0,3.15791091,0.856110078
" ""src/1a100/"" "," ""237.txt"" ",102,27,0.037037037,4,30,200,0,8,102,38,0,38,3.108,1.076606386,5,38,33,30.214,0.190152799,38,43,5,47.678,0.132754728,4,0,4,0.032,8.087413,0.296296296,0.037037037,0.666666667,0.074074074,0.37037037,0.037037037,0.498148148,0.085925926,0.412222222,0.087526429,0.032144064,0.074934213,0.086132028,0.011197815,0.071191373,0.253609818,1,18,17,16.896,0.202525361,0,11,0,11.87,0.352839902,22,2,0,28,-0.944444,0.796296,47,10,3,7,6,-0.048148148,22,-0.25926,0.037037037,0.296296296,0.080467327,1.379747696,1.00528678,0.857042575
" ""src/1000a1100/"" "," ""158.txt"" ",102,2011,0.000497265,1,50,100,0,8,102,42,16,26,15.678,0.28984959,12,21,9,24.178,0.255208821,27,44,17,41.144,0.16648269,6,0,6,0.218,2.700101,0.022376927,0.000497265,0.083540527,0.000497265,0.0611636,0,0.050164097,0.026718051,0.023446047,0.02048192,0.004037707,0.013152258,0.024946806,0.011794548,0.023042864,0.10822338,0,13,13,12.898,0.583392727,0,3,0,5.88,1.3653995,49,50,0,0,-0.501333,-0.477633,47.66,2,2,0,4,-0.00281452,37,-0.00547,0.000497265,0.005967181,0.001938044,0,3.314261243,0.857798831
